"Title","Points","Due Date","Prompt"
"[PN103 2026] Week 1 Discussion: Dignity, Rights, and the Long-Term Care Nurse","10","2026-06-28","Describe one resident right that must be protected in long-term care. Explain how a practical nurse can support that right while still maintaining safety and following the care plan."
"[PN103 2026] Week 2 Discussion: Seeing the Whole Resident","10","2026-07-05","Long-term care residents have histories, preferences, beliefs, relationships, and goals. Choose one communication strategy that helps you learn what matters to a resident and explain why it supports better care."
"[PN103 2026] Week 3 Discussion: Preventing Harm Before It Happens","10","2026-07-12","Choose one preventable harm in long-term care, such as a fall, infection, unsafe transfer, or restraint-related injury. Explain what the nurse should observe, do, report, and document."
"[PN103 2026] Week 4 Discussion: Basic Care Is Skilled Care","10","2026-07-19","Basic care can prevent serious complications. Choose hygiene, nutrition, hydration, or room comfort and explain how careful nursing care supports safety, dignity, and quality of life."
"[PN103 2026] Week 5 Discussion: Noticing Changes in Condition","10","2026-07-26","Choose one change in condition related to elimination, breathing, pain, sleep, activity tolerance, or vital signs. Explain what you would notice, what questions you would ask, and what you would report."
"[PN103 2026] Week 6 Discussion: Smooth Transitions of Care","10","2026-08-02","Admissions, room transfers, and discharges can be stressful for residents. Explain one nursing action that can reduce confusion, protect safety, or improve continuity of care."
"[PN103 2026] Week 7 Discussion: Skin Integrity and Quality of Life","10","2026-08-09","Pressure injury prevention is daily nursing work. Choose one prevention strategy and explain how it protects both physical safety and resident dignity."
"[PN103 2026] Week 8 Discussion: Chronic Conditions and Daily Nursing Priorities","10","2026-08-16","Choose one chronic condition common in long-term care. Explain what daily nursing observations matter most and how those observations can prevent complications."
"[PN103 2026] Week 9 Discussion: Dementia Care With Dignity","10","2026-08-23","Describe one communication or environmental strategy that can reduce distress for a resident with dementia. Explain why the strategy is respectful and safe."
"[PN103 2026] Week 10 Discussion: Restorative Care and Emergency Readiness","10","2026-08-30","Choose restorative care or emergency readiness. Explain one practical action the nurse can take that helps the resident remain safe, functional, and respected."
"[PN103 2026] Week 11 Discussion: Comfort, Family, and Dignity at End of Life","10","2026-09-06","End-of-life care requires skill and compassion. Describe one action that supports comfort or family presence while protecting dignity, privacy, and policy requirements."
"[PN103 2026] Week 12 Discussion: Professional Commitment to Long-Term Care","10","2026-09-09","Identify one professional habit you will carry into long-term care clinical practice. Explain how it protects residents and strengthens the health care team."
