"Assignment","Points","Type","Due Date","Notes"
"[PN103 2026] Syllabus and Course Orientation Acknowledgment","0","Assignment","2026-06-28","Course assignment aligned to PN 103 objectives."
"[PN103 2026] Week 1 Discussion: Dignity, Rights, and the Long-Term Care Nurse","10","Discussion","2026-06-28","Describe one resident right that must be protected in long-term care. Explain how a practical nurse can support that right while still maintaining safety and following the care plan."
"[PN103 2026] Long-Term Care Role and Resident Rights Scenario","25","Assignment","2026-06-28","Analyze a short resident-care scenario. Identify the resident right involved, the nurse's responsibility, what should be reported, and how the team can protect dignity."
"[PN103 2026] Week 2 Discussion: Seeing the Whole Resident","10","Discussion","2026-07-05","Long-term care residents have histories, preferences, beliefs, relationships, and goals. Choose one communication strategy that helps you learn what matters to a resident and explain why it supports better care."
"[PN103 2026] Resident Profile and Communication Plan","25","Assignment","2026-07-05","Create a brief resident profile from a case scenario and write two communication approaches that protect dignity, culture, preferences, privacy, and safety."
"[PN103 2026] Week 3 Discussion: Preventing Harm Before It Happens","10","Discussion","2026-07-12","Choose one preventable harm in long-term care, such as a fall, infection, unsafe transfer, or restraint-related injury. Explain what the nurse should observe, do, report, and document."
"[PN103 2026] Safety and Infection Prevention Room Audit","25","Assignment","2026-07-12","Complete a case-based room safety audit. Identify fall risks, infection risks, transfer concerns, restraint-alternative options, and priority reporting needs."
"[PN103 2026] Week 4 Discussion: Basic Care Is Skilled Care","10","Discussion","2026-07-19","Basic care can prevent serious complications. Choose hygiene, nutrition, hydration, or room comfort and explain how careful nursing care supports safety, dignity, and quality of life."
"[PN103 2026] ADL, Nutrition, and Hydration Care Plan","25","Assignment","2026-07-19","Use a resident scenario to identify ADL needs, nutrition/hydration risks, safety precautions, observations to report, and resident-centered comfort measures."
"[PN103 2026] Week 5 Discussion: Noticing Changes in Condition","10","Discussion","2026-07-26","Choose one change in condition related to elimination, breathing, pain, sleep, activity tolerance, or vital signs. Explain what you would notice, what questions you would ask, and what you would report."
"[PN103 2026] Elimination, Oxygen, and Vital Signs Case Worksheet","25","Assignment","2026-07-26","Interpret a resident case with elimination changes, respiratory concerns, and vital-sign data. Identify priority findings, immediate nursing actions, and reporting language."
"[PN103 2026] Week 6 Discussion: Smooth Transitions of Care","10","Discussion","2026-08-02","Admissions, room transfers, and discharges can be stressful for residents. Explain one nursing action that can reduce confusion, protect safety, or improve continuity of care."
"[PN103 2026] Midterm Exam - Long-Term Care Foundations and Daily Care","150","Quiz","2026-08-02","Midterm exam covering Weeks 1-6: resident rights, communication, safety, infection prevention, mobility, personal care, nutrition, elimination, comfort, oxygen needs, vital signs, specimens, and transitions."
"[PN103 2026] Week 7 Discussion: Skin Integrity and Quality of Life","10","Discussion","2026-08-09","Pressure injury prevention is daily nursing work. Choose one prevention strategy and explain how it protects both physical safety and resident dignity."
"[PN103 2026] Skin Integrity and Pressure Injury Prevention Map","25","Assignment","2026-08-09","Create a prevention map for a high-risk resident. Include repositioning, skin inspection, nutrition/hydration, moisture, mobility, sensory needs, reporting, and documentation."
"[PN103 2026] Week 8 Discussion: Chronic Conditions and Daily Nursing Priorities","10","Discussion","2026-08-16","Choose one chronic condition common in long-term care. Explain what daily nursing observations matter most and how those observations can prevent complications."
"[PN103 2026] Chronic Disorder Nursing Priorities Case","25","Assignment","2026-08-16","Analyze a resident with multiple chronic disorders. Identify three priority nursing concerns, what to monitor, when to report, and how to support independence."
"[PN103 2026] Week 9 Discussion: Dementia Care With Dignity","10","Discussion","2026-08-23","Describe one communication or environmental strategy that can reduce distress for a resident with dementia. Explain why the strategy is respectful and safe."
"[PN103 2026] Dementia and Mental Health Communication Plan","25","Assignment","2026-08-23","Build a care communication plan for a resident with confusion, dementia, anxiety, or another mental health concern. Include triggers, calming approaches, safety concerns, and reporting."
"[PN103 2026] Week 10 Discussion: Restorative Care and Emergency Readiness","10","Discussion","2026-08-30","Choose restorative care or emergency readiness. Explain one practical action the nurse can take that helps the resident remain safe, functional, and respected."
"[PN103 2026] Restorative Nursing and Emergency Response Worksheet","25","Assignment","2026-08-30","Complete scenarios involving restorative goals and emergency recognition. Identify safe first actions, who to notify, what to document, and how to support the resident afterward."
"[PN103 2026] Week 11 Discussion: Comfort, Family, and Dignity at End of Life","10","Discussion","2026-09-06","End-of-life care requires skill and compassion. Describe one action that supports comfort or family presence while protecting dignity, privacy, and policy requirements."
"[PN103 2026] End-of-Life Comfort and Family Support Reflection","25","Assignment","2026-09-06","Reflect on a case involving terminal illness. Identify comfort measures, family support, cultural considerations, reporting needs, and professional self-care."
"[PN103 2026] Week 12 Discussion: Professional Commitment to Long-Term Care","10","Discussion","2026-09-09","Identify one professional habit you will carry into long-term care clinical practice. Explain how it protects residents and strengthens the health care team."
"[PN103 2026] Final Comprehensive Exam - Long-Term Care Nursing","200","Quiz","2026-09-09","Cumulative final exam covering resident rights, safety, infection prevention, basic care, chronic conditions, dementia, restorative care, emergencies, end-of-life care, and professional accountability."
"[PN103 2026] Long-Term Care Participation and Professionalism","100","Assignment","2026-09-09","Course assignment aligned to PN 103 objectives."
