"Assignment","Points","Type","Notes"
"Class Participation and Professionalism","100","Assignment","Course assignment aligned to weekly objectives."
"Professional Beginning Reflection","50","Assignment","Course assignment aligned to weekly objectives."
"Quiz 1: Weeks 1-2","50","Quiz","Biweekly quiz covering Weeks 1-2."
"Therapeutic Communication Practice","50","Assignment","Course assignment aligned to weekly objectives."
"Quiz 2: Weeks 3-4","50","Quiz","Biweekly quiz covering Weeks 3-4."
"Ethics Case Response","75","Assignment","Course assignment aligned to weekly objectives."
"Midterm Exam: Weeks 1-6","150","Quiz","Midterm exam covering Weeks 1-6."
"Health Equity Reflection","50","Assignment","Course assignment aligned to weekly objectives."
"Quiz 3: Weeks 7-8","50","Quiz","Biweekly quiz covering Weeks 7-8."
"Clinical Judgment Worksheet","75","Assignment","Course assignment aligned to weekly objectives."
"Quiz 4: Weeks 9-10","50","Quiz","Biweekly quiz covering Weeks 9-10."
"Professional Development Plan","50","Assignment","Course assignment aligned to weekly objectives."
"Final Impact Presentation","50","Assignment","Course assignment aligned to weekly objectives."
"Cumulative Final Exam","200","Quiz","Cumulative final exam completed in Week 12."
