"Module","Lesson","Content"
"PN103 2026 - Orientation and Course Resources","[PN103 2026] Course Welcome and Syllabus","PN 103 Long-Term Care Nursing prepares practical nursing students to provide safe, respectful, resident-centered care in long-term care, skilled nursing, rehabilitation, assisted living, dementia care, and end-of-life settings. The course emphasizes the practical nurse role, resident rights, communication, safety, infection prevention, mobility, personal care, nutrition, elimination, restorative care, common chronic conditions, dementia, emergencies, documentation, and professional accountability.

Required text: Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Students review the syllabus, weekly schedule, grade items, discussion expectations, calendar due dates, attendance expectations, and long-term care professional standards."
"PN103 2026 - Orientation and Course Resources","[PN103 2026] Syllabus and Course Orientation Acknowledgment","Canvas item type: Assignment. Students acknowledge the syllabus, course calendar, required readings, professionalism expectations, discussion requirements, and instructor communication policy."
"PN103 2026 - Orientation and Course Resources","Mosby's Long-Term Care Textbook PDF","Canvas item type: Attachment.

Course file:
- mosbys-long-term-care-nursing-assistants-8th-edition.pdf: /course-materials/long-term-care-nursing-pn103/mosbys-long-term-care-nursing-assistants-8th-edition.pdf

Use only the selected assigned chapters listed in each weekly module unless the instructor assigns additional review."
"Week 1: Long-Term Care Foundations, Resident Rights, and Professional Accountability","Weekly Overview and Selected Reading","Long-term care settings, nursing team roles, delegation, resident rights, ethics, laws, abuse prevention, work ethics, and professional behavior.

Reading: Selected readings from Chapters 1, 2, and 3 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Describe major long-term care settings and the practical nurse's place on the team.
- Connect resident rights, dignity, quality of life, and abuse prevention to daily care.
- Identify professional behaviors expected in class, lab, clinical, and resident-care settings."
"Week 1: Long-Term Care Foundations, Resident Rights, and Professional Accountability","[PN103 2026] Week 1 Discussion: Dignity, Rights, and the Long-Term Care Nurse","Canvas item type: Discussion.

Prompt: Describe one resident right that must be protected in long-term care. Explain how a practical nurse can support that right while still maintaining safety and following the care plan.

Due: 2026-06-28 at 11:59 PM."
"Week 1: Long-Term Care Foundations, Resident Rights, and Professional Accountability","[PN103 2026] Long-Term Care Role and Resident Rights Scenario","Canvas item type: Assignment.

Analyze a short resident-care scenario. Identify the resident right involved, the nurse's responsibility, what should be reported, and how the team can protect dignity.

Due: 2026-06-28 at 11:59 PM."
"Week 2: Communication, Nursing Process, Culture, Aging, and Person-Centered Care","Weekly Overview and Selected Reading","Communication with residents and the health team, assisting with the nursing process, understanding the whole resident, cultural and religious considerations, body systems review, aging, and sexuality.

Reading: Selected readings from Chapters 4, 5, 6, 7, 8, 9, and 10 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Use clear reporting and respectful communication with residents, families, and the care team.
- Explain how practical nurses contribute to data collection, implementation, evaluation, and care-plan updates.
- Describe how culture, religion, aging, and sexuality affect resident-centered care."
"Week 2: Communication, Nursing Process, Culture, Aging, and Person-Centered Care","[PN103 2026] Week 2 Discussion: Seeing the Whole Resident","Canvas item type: Discussion.

Prompt: Long-term care residents have histories, preferences, beliefs, relationships, and goals. Choose one communication strategy that helps you learn what matters to a resident and explain why it supports better care.

Due: 2026-07-05 at 11:59 PM."
"Week 2: Communication, Nursing Process, Culture, Aging, and Person-Centered Care","[PN103 2026] Resident Profile and Communication Plan","Canvas item type: Assignment.

Create a brief resident profile from a case scenario and write two communication approaches that protect dignity, culture, preferences, privacy, and safety.

Due: 2026-07-05 at 11:59 PM."
"Week 3: Safety, Falls, Restraint Alternatives, Infection Prevention, and Safe Mobility","Weekly Overview and Selected Reading","Environmental safety, fall prevention, restraint alternatives, standard precautions, infection prevention, body mechanics, transfers, and safe resident handling.

Reading: Selected readings from Chapters 11, 12, 13, 14, and 15 from Mosby's Textbook for Long-Term Care Nursing Assistants, 8th edition.

Objectives:
- Identify common safety hazards and fall-risk factors in long-term care.
- Explain why restraint alternatives and least-restrictive interventions are required.
- Apply infection prevention, body mechanics, transfer safety, and reporting expectations."
