"Module","Lesson","Content"
"Orientation and Course Resources","Course Welcome and Expectations","<h2>Welcome to Introduction to Nursing</h2>
<p>A six-week introduction to nursing course for practical nursing students. The course uses the exported chapter sequence from the LMS build and organizes Chapters 1-6 into one chapter per week. Students review weekly chapter lessons, PowerPoint summaries, multiple-choice quizzes, practical nursing activities, and a comprehensive final exam.</p>
<h3>Course details</h3>
<ul><li>Course code: PN 102</li><li>Length: 6 weeks</li><li>Credits: 3</li><li>Contact hours: 48</li><li>Delivery: Online / LMS</li><li>Weekly structure: chapter lesson, PowerPoint review, quiz, and learning activity</li></ul>
<h3>Course objectives</h3>
<ul><li>Describe the identity, purpose, responsibilities, and limits of the practical nurse role.</li><li>Explain major historical influences on nursing education, reform, and public trust.</li><li>Apply caring, comfort, safety, advocacy, and healing principles to beginning nursing scenarios.</li><li>Use basic communication, delegation, teamwork, and scope-of-practice concepts in patient care.</li><li>Recognize ethical responsibilities related to confidentiality, boundaries, patient rights, and professional conduct.</li><li>Identify legal foundations for documentation, privacy, accountability, and safe practical nursing practice.</li></ul>"
"Orientation and Course Resources","How This Course Builds a Practical Nurse","<h2>How This Course Builds a Practical Nurse</h2>
<p>This course introduces the professional habits students will use throughout the practical nursing program: preparation, communication, safety, accountability, ethics, and respect for patient rights.</p>
<p>Students should complete each weekly chapter in order. Each quiz checks readiness before moving to the next week.</p>"
"Week 1: Nursing Identity, Purpose, and the Practical Nurse Role","[PN102 2026] Chapter 1: Nursing Identity, Purpose, and the Practical Nurse Role","<h2>Chapter 1: Nursing Identity, Purpose, and the Practical Nurse Role</h2>
<p>Students begin by defining what practical nursing is, how the practical nurse contributes to safe care, and why professional habits must begin on the first day of training.</p>
<h3>Required reading</h3>
<p>Read Chapter 1 before class. Pay close attention to definitions of nursing, professional identity, the practical nurse role, student responsibilities, and examples of safe beginning practice.</p>
<h3>Learning objectives</h3>
<ul><li>Define nursing as a profession focused on safe, compassionate, evidence-informed care.</li><li>Describe how the practical nurse role supports patients, families, registered nurses, and the health care team.</li><li>Identify student behaviors that demonstrate readiness, accountability, punctuality, and respect.</li><li>Explain why scope of practice and supervision protect both the patient and the student nurse.</li></ul>
<h3>Key topics</h3>
<ul><li>Purpose of nursing</li><li>Practical nurse responsibilities</li><li>Professional appearance and communication</li><li>Student conduct and readiness</li><li>Asking for help before performing unfamiliar care</li></ul>
<h3>Learning activities</h3>
<ul><li>Write a short professional identity statement.</li><li>Discuss how attendance, preparation, and organization affect patient safety.</li><li>Review three scenarios and identify whether the student should proceed, ask for help, or stop.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 1: Nursing Identity, Purpose, and the Practical Nurse Role","[PN102 2026] Chapter 1 PowerPoint Review","<h2>Chapter 1 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch01_Nursing_Identity_and_Practical_Nurse_Role.pptx</p>
<h3>Slide outline</h3>
<ul><li>What is nursing?</li><li>The practical nurse role</li><li>Professional identity in training</li><li>Scope, supervision, and safety</li><li>Readiness checklist for class and clinical</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 1, then attach the actual slide file when available.</p>"
"Week 1: Nursing Identity, Purpose, and the Practical Nurse Role","[PN102 2026] Quiz 1 - Chapter 1","<h2>Chapter 1 Quiz</h2>
<p><strong>Due:</strong> Jul 7, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. Which statement best describes the practical nurse role?</h4>
            <ol type=""A"">
              <li>Provide safe basic nursing care under the direction required by law and policy.</li><li>Practice independently without supervision.</li><li>Diagnose patient conditions and prescribe treatment.</li><li>Complete only clerical tasks and avoid patient care.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. Why are attendance, preparation, and organization important in nursing school?</h4>
            <ol type=""A"">
              <li>They are only school preferences.</li><li>They protect patient safety and professional readiness.</li><li>They replace the need to study.</li><li>They only matter during graduation week.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. What is one lesson associated with Florence Nightingale's influence on nursing?</h4>
            <ol type=""A"">
              <li>Using observation, sanitation, and data to improve care.</li><li>Avoiding patient assessment.</li><li>Keeping health care work informal.</li><li>Replacing teamwork with individual decision making.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. When should a practical nursing student ask for help?</h4>
            <ol type=""A"">
              <li>Only after an error occurs.</li><li>When a task is outside student preparation or permission.</li><li>Only if another student asks first.</li><li>Never, because asking questions is unprofessional.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. Professional identity begins with which behavior?</h4>
            <ol type=""A"">
              <li>Accountability, respectful communication, and readiness to learn.</li><li>Ignoring feedback.</li><li>Arriving late if the assignment is online.</li><li>Avoiding patient interaction.</li>
            </ol>
          </section>"
"Week 2: Nursing History, Reform, Education, and Public Trust","[PN102 2026] Chapter 2: Nursing History, Reform, Education, and Public Trust","<h2>Chapter 2: Nursing History, Reform, Education, and Public Trust</h2>
<p>Students connect nursing history to present-day expectations for education, ethics, public trust, and safe entry-level practice.</p>
<h3>Required reading</h3>
<p>Read Chapter 2 and identify nursing leaders, reform movements, changes in nursing education, and the reasons the public expects nurses to act with honesty and competence.</p>
<h3>Learning objectives</h3>
<ul><li>Identify selected nursing leaders and explain how their work influenced modern nursing.</li><li>Describe how nursing education changed from informal training to structured programs.</li><li>Explain how public trust is built through competence, ethics, and patient-centered care.</li><li>Connect past health care reform to current expectations for safe practical nursing.</li></ul>
<h3>Key topics</h3>
<ul><li>Nursing leaders and reformers</li><li>Growth of nursing education</li><li>Public trust in nursing</li><li>Health care reform</li><li>Professional standards over time</li></ul>
<h3>Learning activities</h3>
<ul><li>Create a short timeline of nursing history.</li><li>Choose one nursing leader and explain one contribution to patient care.</li><li>Discuss how public trust can be damaged and restored in health care.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 2: Nursing History, Reform, Education, and Public Trust","[PN102 2026] Chapter 2 PowerPoint Review","<h2>Chapter 2 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch02_Nursing_History_Reform_and_Public_Trust.pptx</p>
<h3>Slide outline</h3>
<ul><li>Early nursing and reform</li><li>Nursing leaders</li><li>Education and standards</li><li>Public trust</li><li>Lessons for practical nursing students</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 2, then attach the actual slide file when available.</p>"
"Week 2: Nursing History, Reform, Education, and Public Trust","[PN102 2026] Quiz 2 - Chapter 2","<h2>Chapter 2 Quiz</h2>
<p><strong>Due:</strong> Jul 14, 2026 by 11:59 PM. <strong>Points:</strong> 10.</p>
<div class=""quiz-instructions"">
<h3>Instructions before you begin</h3>
<ul><li>Review the chapter lesson and PowerPoint before opening the quiz.</li><li>This quiz contains multiple-choice questions only.</li><li>Choose the best answer for each question.</li><li>Submit the quiz before the due date listed above.</li><li>Contact your instructor before the deadline if you have a technical issue.</li></ul>
<button type=""button"" class=""quiz-start-button"">Start Quiz</button>
</div>
<h3>Questions</h3>

          <section class=""quiz-question"">
            <h4>1. Public trust in nursing is most strongly supported by which behavior?</h4>
            <ol type=""A"">
              <li>Competence, honesty, confidentiality, and respectful care.</li><li>Sharing patient stories online.</li><li>Avoiding documentation.</li><li>Completing tasks without asking questions.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>2. Mary Eliza Mahoney is recognized for which contribution?</h4>
            <ol type=""A"">
              <li>First professionally trained Black nurse in the United States.</li><li>Inventing the stethoscope.</li><li>Creating the first ambulance service.</li><li>Writing the first medication order system.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>3. Why did nursing education become more structured over time?</h4>
            <ol type=""A"">
              <li>To create formal standards for safe practice.</li><li>To remove science from nursing.</li><li>To make patient care less consistent.</li><li>To reduce the need for supervision.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>4. A reform-minded nurse should do what when unsafe conditions are identified?</h4>
            <ol type=""A"">
              <li>Ignore the issue if the shift is busy.</li><li>Identify unsafe conditions and advocate through the proper chain of command.</li><li>Tell only classmates.</li><li>Post the concern publicly before reporting it.</li>
            </ol>
          </section>

          <section class=""quiz-question"">
            <h4>5. Which action best protects the public's trust in the nursing profession?</h4>
            <ol type=""A"">
              <li>Follow policy and report concerns appropriately.</li><li>Guess when unsure.</li><li>Skip assigned learning activities.</li><li>Discuss patient information with friends.</li>
            </ol>
          </section>"
"Week 3: Caring, Comfort, Safety, Advocacy, and Healing","[PN102 2026] Chapter 3: Caring, Comfort, Safety, Advocacy, and Healing","<h2>Chapter 3: Caring, Comfort, Safety, Advocacy, and Healing</h2>
<p>Students practice seeing the patient as a whole person and learn how caring behaviors support comfort, safety, healing, and trust.</p>
<h3>Required reading</h3>
<p>Read Chapter 3 and note examples of caring communication, comfort measures, safety awareness, advocacy, and patient-centered healing.</p>
<h3>Learning objectives</h3>
<ul><li>Describe caring behaviors that support dignity and trust.</li><li>Identify basic comfort measures appropriate for beginning practical nursing students.</li><li>Explain how safety and advocacy are connected in patient care.</li><li>Apply patient-centered thinking to common classroom and clinical scenarios.</li></ul>
<h3>Key topics</h3>
<ul><li>Caring and therapeutic presence</li><li>Comfort and dignity</li><li>Safety basics</li><li>Advocacy for patient concerns</li><li>Healing and whole-person care</li></ul>
<h3>Learning activities</h3>
<ul><li>Role-play a patient who is anxious before a procedure.</li><li>Identify safety risks in a patient room scenario.</li><li>Write one advocacy statement a student nurse could use when reporting a concern.</li></ul>
<h3>Before moving on</h3>
<p>Review your chapter notes, complete the PowerPoint review, and take the weekly quiz. Bring questions to the instructor before the next course meeting.</p>"
"Week 3: Caring, Comfort, Safety, Advocacy, and Healing","[PN102 2026] Chapter 3 PowerPoint Review","<h2>Chapter 3 PowerPoint Review</h2>
<p>This item represents the weekly PowerPoint that should be uploaded or attached for instructor/student use.</p>
<p><strong>File name:</strong> PN102_Ch03_Caring_Comfort_Safety_Advocacy_and_Healing.pptx</p>
<h3>Slide outline</h3>
<ul><li>Caring as professional action</li><li>Comfort measures</li><li>Safety and risk awareness</li><li>Patient advocacy</li><li>Healing and dignity</li></ul>
<p>Instructor note: keep the PowerPoint aligned with Chapter 3, then attach the actual slide file when available.</p>"
