"Module","Lesson","Content"
"Orientation and Syllabus","Course Overview and WK Product Setup","A 12-week practical nursing fundamentals course based on Wolters Kluwer CoursePoint for Timby's Fundamental Nursing Skills and Concepts, 13th edition, with vSim for LPN/LVN and Lippincott Client Cases for Clinical Judgment.

Required products: CoursePoint, vSim for LPN/LVN, and Lippincott Client Cases for Clinical Judgment. Students should complete WK Student Strategies training and confirm access to CoursePoint resources before Week 1."
"Orientation and Syllabus","Grading, Mastery, and Remediation Expectations","Class preparation is 120 points, class follow-up is 180 points, clinical preparation/performance is 350 points, summative exams are 350 points, and clinical performance is pass/fail. PrepU pre-class work targets ML 4; post-class work targets ML 6 with remediation."
"Week 1: Nursing Foundations; Health and Illness; Homeostasis, Adaptation, and Stress","Classroom Focus","CoursePoint chapters 1, 4, 5

Nursing Foundations; Health and Illness; Homeostasis, Adaptation, and Stress

Pre-class: Student Strategies training certificate, One-Minute Nurse quizzes at 80% average, PrepU adaptive quizzes to ML 4.

During/post-class: CoursePoint orientation, CJMM prompts, Stop/Think/Respond and critical thinking discussion questions."
"Week 1: Nursing Foundations; Health and Illness; Homeostasis, Adaptation, and Stress","Clinical Skills Lab","Orientation; Nursing Foundations; Health and Illness; Homeostasis, Adaptation, and Stress

CoursePoint clinical activity orientation, Practice & Learn, vSim, Lippincott Client Cases, Neil O'Leary case, Client Cases second attempt.

Clinical points for this week: 0."
"Week 2: Nursing Process and Clinical Judgment; Asepsis; Infection Control","Classroom Focus","CoursePoint chapters 2, 10, 22

Nursing Process and Clinical Judgment; Asepsis; Infection Control

Pre-class: One-Minute Nurse quizzes, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, care-plan orientation, Opal Warfell C. difficile case, PrepU to ML 6 with remediation."
"Week 2: Nursing Process and Clinical Judgment; Asepsis; Infection Control","Clinical Skills Lab","Nursing Process and Clinical Judgment; Asepsis; Infection Control

Hand hygiene, sterile field, sterile gloves, PPE, Jared Griffin vSim, Luisa Montessori MRSA case, infection-risk care plan.

Clinical points for this week: 30."
"Week 3: Comfort, Rest, and Sleep; Safety; Pain Management","Classroom Focus","CoursePoint chapters 18, 19, 20

Comfort, Rest, and Sleep; Safety; Pain Management

Pre-class: One-Minute Nurse quizzes, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, pain and safety case discussions, PrepU to ML 6 with remediation."
"Week 3: Comfort, Rest, and Sleep; Safety; Pain Management","Clinical Skills Lab","Comfort, Rest, and Sleep; Safety; Pain Management

Occupied/unoccupied bed, back massage, restraints, TENS unit, pain and fall-risk Client Cases, acute pain care plan.

Clinical points for this week: 23."
"Week 4: Vital Signs; Physical Assessment; Special Examinations and Tests","Classroom Focus","CoursePoint chapters 12, 13, 14

Vital Signs; Physical Assessment; Special Examinations and Tests

Pre-class: Concepts in Action, One-Minute Nurse quizzes, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, assessment case discussions, PrepU to ML 6 with remediation."
"Week 4: Vital Signs; Physical Assessment; Special Examinations and Tests","Clinical Skills Lab","Vital Signs; Physical Assessment; Special Examinations and Tests

Vital signs, physical assessment, glucometer use, Vernon Russell vSim, blood glucose and orthostatic hypotension cases.

Clinical points for this week: 40."
"Week 5: Nutrition; Fluid and Chemical Balance; Hygiene","Classroom Focus","CoursePoint chapters 15, 16, 17 plus chapter 9 review in lab

Nutrition; Fluid and Chemical Balance; Hygiene

Pre-class: One-Minute Nurse quizzes, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, dehydration Client Cases, PrepU to ML 6 with remediation."
"Week 5: Nutrition; Fluid and Chemical Balance; Hygiene","Clinical Skills Lab","Nutrition; Fluid and Chemical Balance; Hygiene

Meal trays, feeding, intake/output, bathing, perineal care, oral care, hair care, dehydration care plan.

Clinical points for this week: 23."
"Week 6: Body Mechanics, Positioning, and Moving; Fitness and Therapeutic Exercise; Mechanical Immobilization; Ambulatory Aids","Classroom Focus","CoursePoint chapters 23, 24, 25, 26

Body Mechanics, Positioning, and Moving; Fitness and Therapeutic Exercise; Mechanical Immobilization; Ambulatory Aids

Pre-class: PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, mobility case discussions, PrepU to ML 6 with remediation."
"Week 6: Body Mechanics, Positioning, and Moving; Fitness and Therapeutic Exercise; Mechanical Immobilization; Ambulatory Aids","Clinical Skills Lab","Body Mechanics, Positioning, and Moving; Fitness and Therapeutic Exercise; Mechanical Immobilization; Ambulatory Aids

Turning, transfers, range-of-motion exercises, cast care, arm sling, crutches, canes, walkers, fall-risk care plan.

Clinical points for this week: 23."
"Week 7: Midterm Summative Exam; Recording and Reporting; Urinary Elimination; Bowel Elimination","Classroom Focus","CoursePoint chapters 9, 30, 31

Midterm Summative Exam; Recording and Reporting; Urinary Elimination; Bowel Elimination

Pre-class: One-Minute Nurse SBAR quiz, documentation article, PrepU adaptive quizzes to ML 4.

During/post-class: Midterm, pre-lecture quiz, CJMM prompts, documentation discussion, elimination Client Cases, PrepU to ML 6."
"Week 7: Midterm Summative Exam; Recording and Reporting; Urinary Elimination; Bowel Elimination","Clinical Skills Lab","Urinary Elimination; Bowel Elimination; Recording and Reporting

Charting, bedpan/urinal, catheterization, Foley irrigation, Kim Johnson and Marvin Hayes vSim, urinary retention care plan.

Clinical points for this week: 35."
"Week 8: Perioperative Care; Wound Care; Gastrointestinal Intubation","Classroom Focus","CoursePoint chapters 27, 28, 29

Perioperative Care; Wound Care; Gastrointestinal Intubation

Pre-class: Concepts in Action, One-Minute Nurse pressure injury quiz, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, perioperative/wound case discussions, PrepU to ML 6 with remediation."
"Week 8: Perioperative Care; Wound Care; Gastrointestinal Intubation","Clinical Skills Lab","Perioperative Care; Wound Care; Gastrointestinal Intubation

Antiembolism stockings, pneumatic compression, sterile dressing, wound irrigation, NG tube, Josephine Morrow vSim.

Clinical points for this week: 35."
"Week 9: Oxygenation; Airway Management; Resuscitation","Classroom Focus","CoursePoint chapters 21, 36

Oxygenation; Airway Management; Resuscitation

Pre-class: Concepts in Action, One-Minute Nurse oxygen delivery quiz, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, respiratory Client Cases, PrepU to ML 6 with remediation."
"Week 9: Oxygenation; Airway Management; Resuscitation","Clinical Skills Lab","Oxygenation; Airway Management

Oxygen assessment, oxygen administration, suctioning, tracheostomy care, oxygen via nasal cannula case, airway care plans.

Clinical points for this week: 38."
"Week 10: Oral Medications; Topical and Inhalant Medications; Parenteral Medications","Classroom Focus","CoursePoint chapters 32, 33, 34

Oral Medications; Topical and Inhalant Medications; Parenteral Medications

Pre-class: Concepts in Action, One-Minute Nurse medication quizzes, PrepU adaptive quizzes to ML 4.

During/post-class: Pre-lecture quiz, CJMM prompts, medication route and dosage case, PrepU to ML 6 with remediation."
